T,M,Time
1,1,0.245368
1,10,17.314626
1,20,22.992795
1,30,31.342177
1,40,42.550740
1,50,57.370454
1,100,60.031165
10,1,0.240101
10,10,1.731435
10,20,2.808365
10,30,3.900533
10,40,5.391681
10,50,7.123948
10,100,7.310082
20,1,0.226403
20,10,1.296643
20,20,1.989353
20,30,2.503904
20,40,3.239805
20,50,3.907044
20,100,4.001681
